{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:47:38
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:47:39
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:47:39
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:47:40
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:47:40
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:47:41
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:47:41
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:47:42
{'high_beta': 1.0 , 'low_beta': 0.0 , 'attention': 0 , 'low_gamma': 0.0 , 'delta': 1.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 0.0 , 'high_gamma': 0.0 , 'length': 32 , 'theta': 0.0 , 'low_alpha': 2.0} 00:47:42
{'high_beta': 11395.0 , 'low_beta': 44408.0 , 'attention': 0 , 'low_gamma': 13190.0 , 'delta': 287175.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 23402.0 , 'high_gamma': 4753.0 , 'length': 32 , 'theta': 93196.0 , 'low_alpha': 78810.0} 00:47:43
{'high_beta': 2523.0 , 'low_beta': 6739.0 , 'attention': 0 , 'low_gamma': 2265.0 , 'delta': 4394.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 180.0 , 'high_gamma': 1428.0 , 'length': 32 , 'theta': 12079.0 , 'low_alpha': 2457.0} 00:47:44
{'high_beta': 9047.0 , 'low_beta': 7558.0 , 'attention': 0 , 'low_gamma': 4583.0 , 'delta': 8752.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 11512.0 , 'high_gamma': 6075.0 , 'length': 32 , 'theta': 5515.0 , 'low_alpha': 7936.0} 00:47:45
{'high_beta': 6308.0 , 'low_beta': 7384.0 , 'attention': 48 , 'low_gamma': 8785.0 , 'delta': 6843.0 , 'meditation': 53 , 'poor_signal': 0 , 'high_alpha': 11088.0 , 'high_gamma': 2087.0 , 'length': 32 , 'theta': 6385.0 , 'low_alpha': 5311.0} 00:47:46
{'high_beta': 7355.0 , 'low_beta': 17373.0 , 'attention': 56 , 'low_gamma': 5222.0 , 'delta': 10170.0 , 'meditation': 44 , 'poor_signal': 0 , 'high_alpha': 3604.0 , 'high_gamma': 5835.0 , 'length': 32 , 'theta': 25991.0 , 'low_alpha': 2861.0} 00:47:47
{'high_beta': 6457.0 , 'low_beta': 8509.0 , 'attention': 57 , 'low_gamma': 4962.0 , 'delta': 4721.0 , 'meditation': 56 , 'poor_signal': 0 , 'high_alpha': 8945.0 , 'high_gamma': 10087.0 , 'length': 32 , 'theta': 17019.0 , 'low_alpha': 15075.0} 00:47:48
