{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:43:08
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:43:09
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:43:09
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:43:10
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:43:10
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:43:11
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:43:11
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:43:12
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:43:12
{'high_beta': 0.0 , 'low_beta': 0.0 , 'attention': 0 , 'low_gamma': 0.0 , 'delta': 2.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 1.0 , 'high_gamma': 0.0 , 'length': 32 , 'theta': 4.0 , 'low_alpha': 0.0} 17:43:12
{'high_beta': 6212.0 , 'low_beta': 15119.0 , 'attention': 0 , 'low_gamma': 1285.0 , 'delta': 52915.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 8316.0 , 'high_gamma': 2238.0 , 'length': 32 , 'theta': 25604.0 , 'low_alpha': 3708.0} 17:43:13
{'high_beta': 4585.0 , 'low_beta': 10753.0 , 'attention': 0 , 'low_gamma': 2017.0 , 'delta': 44472.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 3981.0 , 'high_gamma': 1750.0 , 'length': 32 , 'theta': 24500.0 , 'low_alpha': 2504.0} 17:43:14
{'high_beta': 6193.0 , 'low_beta': 4478.0 , 'attention': 0 , 'low_gamma': 2113.0 , 'delta': 991484.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 3624.0 , 'high_gamma': 2545.0 , 'length': 32 , 'theta': 49205.0 , 'low_alpha': 6793.0} 17:43:15
{'high_beta': 5386.0 , 'low_beta': 9569.0 , 'attention': 30 , 'low_gamma': 5191.0 , 'delta': 17665.0 , 'meditation': 51 , 'poor_signal': 0 , 'high_alpha': 18748.0 , 'high_gamma': 3888.0 , 'length': 32 , 'theta': 29650.0 , 'low_alpha': 4608.0} 17:43:16
{'high_beta': 4279.0 , 'low_beta': 8464.0 , 'attention': 23 , 'low_gamma': 4481.0 , 'delta': 59891.0 , 'meditation': 44 , 'poor_signal': 0 , 'high_alpha': 2693.0 , 'high_gamma': 1455.0 , 'length': 32 , 'theta': 34772.0 , 'low_alpha': 5244.0} 17:43:17
{'high_beta': 13292.0 , 'low_beta': 9609.0 , 'attention': 47 , 'low_gamma': 5552.0 , 'delta': 26971.0 , 'meditation': 35 , 'poor_signal': 0 , 'high_alpha': 4236.0 , 'high_gamma': 4079.0 , 'length': 32 , 'theta': 43925.0 , 'low_alpha': 5317.0} 17:43:18
{'high_beta': 4585.0 , 'low_beta': 1733.0 , 'attention': 27 , 'low_gamma': 2298.0 , 'delta': 57432.0 , 'meditation': 50 , 'poor_signal': 0 , 'high_alpha': 4492.0 , 'high_gamma': 1227.0 , 'length': 32 , 'theta': 26918.0 , 'low_alpha': 18248.0} 17:43:19
{'high_beta': 2998.0 , 'low_beta': 6695.0 , 'attention': 17 , 'low_gamma': 1959.0 , 'delta': 133806.0 , 'meditation': 53 , 'poor_signal': 0 , 'high_alpha': 6065.0 , 'high_gamma': 1770.0 , 'length': 32 , 'theta': 50746.0 , 'low_alpha': 31132.0} 17:43:20
{'high_beta': 3724.0 , 'low_beta': 12853.0 , 'attention': 17 , 'low_gamma': 4859.0 , 'delta': 452928.0 , 'meditation': 60 , 'poor_signal': 0 , 'high_alpha': 5156.0 , 'high_gamma': 4717.0 , 'length': 32 , 'theta': 46243.0 , 'low_alpha': 12533.0} 17:43:21
{'high_beta': 14472.0 , 'low_beta': 18119.0 , 'attention': 1 , 'low_gamma': 14072.0 , 'delta': 1911671.0 , 'meditation': 77 , 'poor_signal': 0 , 'high_alpha': 43221.0 , 'high_gamma': 10728.0 , 'length': 32 , 'theta': 111949.0 , 'low_alpha': 9740.0} 17:43:22
{'high_beta': 15487.0 , 'low_beta': 13900.0 , 'attention': 40 , 'low_gamma': 7704.0 , 'delta': 738640.0 , 'meditation': 78 , 'poor_signal': 0 , 'high_alpha': 9624.0 , 'high_gamma': 1722.0 , 'length': 32 , 'theta': 29952.0 , 'low_alpha': 33802.0} 17:43:23
{'high_beta': 38695.0 , 'low_beta': 19514.0 , 'attention': 75 , 'low_gamma': 24326.0 , 'delta': 1231838.0 , 'meditation': 81 , 'poor_signal': 0 , 'high_alpha': 37137.0 , 'high_gamma': 13182.0 , 'length': 32 , 'theta': 100037.0 , 'low_alpha': 79580.0} 17:43:24
{'high_beta': 26113.0 , 'low_beta': 30237.0 , 'attention': 90 , 'low_gamma': 17210.0 , 'delta': 906150.0 , 'meditation': 61 , 'poor_signal': 0 , 'high_alpha': 8214.0 , 'high_gamma': 9909.0 , 'length': 32 , 'theta': 197736.0 , 'low_alpha': 10895.0} 17:43:25
{'high_beta': 3701.0 , 'low_beta': 4841.0 , 'attention': 100 , 'low_gamma': 3443.0 , 'delta': 179942.0 , 'meditation': 63 , 'poor_signal': 0 , 'high_alpha': 5645.0 , 'high_gamma': 3172.0 , 'length': 32 , 'theta': 15112.0 , 'low_alpha': 2254.0} 17:43:26
{'high_beta': 8168.0 , 'low_beta': 14473.0 , 'attention': 80 , 'low_gamma': 2233.0 , 'delta': 348439.0 , 'meditation': 41 , 'poor_signal': 0 , 'high_alpha': 4798.0 , 'high_gamma': 1019.0 , 'length': 32 , 'theta': 85144.0 , 'low_alpha': 15338.0} 17:43:27
{'high_beta': 11743.0 , 'low_beta': 18983.0 , 'attention': 84 , 'low_gamma': 11331.0 , 'delta': 8840.0 , 'meditation': 27 , 'poor_signal': 0 , 'high_alpha': 15826.0 , 'high_gamma': 5602.0 , 'length': 32 , 'theta': 33192.0 , 'low_alpha': 5121.0} 17:43:28
{'high_beta': 19673.0 , 'low_beta': 24735.0 , 'attention': 100 , 'low_gamma': 9678.0 , 'delta': 23752.0 , 'meditation': 50 , 'poor_signal': 0 , 'high_alpha': 4889.0 , 'high_gamma': 10900.0 , 'length': 32 , 'theta': 36025.0 , 'low_alpha': 18535.0} 17:43:29
{'high_beta': 8859.0 , 'low_beta': 21049.0 , 'attention': 84 , 'low_gamma': 8474.0 , 'delta': 93049.0 , 'meditation': 63 , 'poor_signal': 0 , 'high_alpha': 24440.0 , 'high_gamma': 9071.0 , 'length': 32 , 'theta': 39526.0 , 'low_alpha': 32033.0} 17:43:30
{'high_beta': 13600.0 , 'low_beta': 15619.0 , 'attention': 97 , 'low_gamma': 7465.0 , 'delta': 724442.0 , 'meditation': 90 , 'poor_signal': 0 , 'high_alpha': 41241.0 , 'high_gamma': 9257.0 , 'length': 32 , 'theta': 18102.0 , 'low_alpha': 14378.0} 17:43:31
{'high_beta': 21007.0 , 'low_beta': 12264.0 , 'attention': 80 , 'low_gamma': 10924.0 , 'delta': 868799.0 , 'meditation': 80 , 'poor_signal': 0 , 'high_alpha': 21109.0 , 'high_gamma': 9773.0 , 'length': 32 , 'theta': 177279.0 , 'low_alpha': 14104.0} 17:43:32
{'high_beta': 37531.0 , 'low_beta': 35787.0 , 'attention': 70 , 'low_gamma': 53356.0 , 'delta': 1919021.0 , 'meditation': 88 , 'poor_signal': 0 , 'high_alpha': 13932.0 , 'high_gamma': 22755.0 , 'length': 32 , 'theta': 99901.0 , 'low_alpha': 82645.0} 17:43:33
{'high_beta': 63261.0 , 'low_beta': 33711.0 , 'attention': 84 , 'low_gamma': 9348.0 , 'delta': 1118735.0 , 'meditation': 67 , 'poor_signal': 0 , 'high_alpha': 27020.0 , 'high_gamma': 7686.0 , 'length': 32 , 'theta': 222762.0 , 'low_alpha': 48897.0} 17:43:34
{'high_beta': 18705.0 , 'low_beta': 19915.0 , 'attention': 91 , 'low_gamma': 9696.0 , 'delta': 18416.0 , 'meditation': 44 , 'poor_signal': 0 , 'high_alpha': 14848.0 , 'high_gamma': 4471.0 , 'length': 32 , 'theta': 46345.0 , 'low_alpha': 7340.0} 17:43:35
{'high_beta': 45063.0 , 'low_beta': 12679.0 , 'attention': 97 , 'low_gamma': 18040.0 , 'delta': 748021.0 , 'meditation': 63 , 'poor_signal': 0 , 'high_alpha': 75269.0 , 'high_gamma': 32258.0 , 'length': 32 , 'theta': 171204.0 , 'low_alpha': 61836.0} 17:43:36
{'high_beta': 4246.0 , 'low_beta': 15010.0 , 'attention': 64 , 'low_gamma': 13740.0 , 'delta': 158291.0 , 'meditation': 40 , 'poor_signal': 0 , 'high_alpha': 6241.0 , 'high_gamma': 9885.0 , 'length': 32 , 'theta': 157713.0 , 'low_alpha': 11460.0} 17:43:37
