{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:32
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:32
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:33
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:33
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:34
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:34
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:35
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:35
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:36
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:36
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:37
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:37
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:38
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:38
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:44:39
{'high_beta': 0.0 , 'low_beta': 1.0 , 'attention': 0 , 'low_gamma': 0.0 , 'delta': 8.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 1.0 , 'high_gamma': 0.0 , 'length': 32 , 'theta': 7.0 , 'low_alpha': 1.0} 17:44:39
{'high_beta': 1157.0 , 'low_beta': 3256.0 , 'attention': 0 , 'low_gamma': 1445.0 , 'delta': 142349.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 3952.0 , 'high_gamma': 1294.0 , 'length': 32 , 'theta': 26957.0 , 'low_alpha': 3630.0} 17:44:40
{'high_beta': 7924.0 , 'low_beta': 6760.0 , 'attention': 0 , 'low_gamma': 3057.0 , 'delta': 9073.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 15699.0 , 'high_gamma': 2061.0 , 'length': 32 , 'theta': 68612.0 , 'low_alpha': 31048.0} 17:44:41
{'high_beta': 7117.0 , 'low_beta': 14550.0 , 'attention': 0 , 'low_gamma': 5597.0 , 'delta': 486115.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 13998.0 , 'high_gamma': 6935.0 , 'length': 32 , 'theta': 48862.0 , 'low_alpha': 28388.0} 17:44:42
{'high_beta': 28879.0 , 'low_beta': 115131.0 , 'attention': 0 , 'low_gamma': 31437.0 , 'delta': 1316762.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 32803.0 , 'high_gamma': 59479.0 , 'length': 32 , 'theta': 279438.0 , 'low_alpha': 155487.0} 17:44:43
{'high_beta': 3111.0 , 'low_beta': 10658.0 , 'attention': 63 , 'low_gamma': 4641.0 , 'delta': 111216.0 , 'meditation': 51 , 'poor_signal': 0 , 'high_alpha': 6070.0 , 'high_gamma': 1583.0 , 'length': 32 , 'theta': 14002.0 , 'low_alpha': 19243.0} 17:44:44
{'high_beta': 9232.0 , 'low_beta': 16279.0 , 'attention': 87 , 'low_gamma': 10638.0 , 'delta': 17993.0 , 'meditation': 34 , 'poor_signal': 0 , 'high_alpha': 3717.0 , 'high_gamma': 3514.0 , 'length': 32 , 'theta': 19933.0 , 'low_alpha': 8991.0} 17:44:45
{'high_beta': 8588.0 , 'low_beta': 24696.0 , 'attention': 67 , 'low_gamma': 6797.0 , 'delta': 1434973.0 , 'meditation': 14 , 'poor_signal': 0 , 'high_alpha': 20997.0 , 'high_gamma': 11282.0 , 'length': 32 , 'theta': 357943.0 , 'low_alpha': 31092.0} 17:44:46
{'high_beta': 41521.0 , 'low_beta': 178609.0 , 'attention': 66 , 'low_gamma': 27859.0 , 'delta': 2126584.0 , 'meditation': 10 , 'poor_signal': 0 , 'high_alpha': 40088.0 , 'high_gamma': 75472.0 , 'length': 32 , 'theta': 469520.0 , 'low_alpha': 147910.0} 17:44:47
{'high_beta': 9788.0 , 'low_beta': 5946.0 , 'attention': 48 , 'low_gamma': 11355.0 , 'delta': 454485.0 , 'meditation': 1 , 'poor_signal': 0 , 'high_alpha': 12101.0 , 'high_gamma': 6612.0 , 'length': 32 , 'theta': 81739.0 , 'low_alpha': 4740.0} 17:44:48
{'high_beta': 4680.0 , 'low_beta': 9584.0 , 'attention': 10 , 'low_gamma': 5614.0 , 'delta': 1207290.0 , 'meditation': 1 , 'poor_signal': 0 , 'high_alpha': 5578.0 , 'high_gamma': 2873.0 , 'length': 32 , 'theta': 145923.0 , 'low_alpha': 13528.0} 17:44:49
