{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:40:29
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:40:30
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:40:30
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:40:31
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:40:31
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:40:32
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:40:32
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:40:33
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:40:33
{'high_beta': 1.0 , 'low_beta': 2.0 , 'attention': 0 , 'low_gamma': 0.0 , 'delta': 7.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 0.0 , 'high_gamma': 1.0 , 'length': 32 , 'theta': 2.0 , 'low_alpha': 1.0} 17:40:34
{'high_beta': 17488.0 , 'low_beta': 18673.0 , 'attention': 0 , 'low_gamma': 30798.0 , 'delta': 486487.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 33172.0 , 'high_gamma': 9411.0 , 'length': 32 , 'theta': 80424.0 , 'low_alpha': 59220.0} 17:40:35
{'high_beta': 7442.0 , 'low_beta': 8200.0 , 'attention': 0 , 'low_gamma': 1512.0 , 'delta': 271538.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 3179.0 , 'high_gamma': 3577.0 , 'length': 32 , 'theta': 33501.0 , 'low_alpha': 4597.0} 17:40:36
{'high_beta': 22211.0 , 'low_beta': 15875.0 , 'attention': 0 , 'low_gamma': 3830.0 , 'delta': 62793.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 1186.0 , 'high_gamma': 1908.0 , 'length': 32 , 'theta': 33364.0 , 'low_alpha': 10814.0} 17:40:37
{'high_beta': 20204.0 , 'low_beta': 20796.0 , 'attention': 0 , 'low_gamma': 10449.0 , 'delta': 218854.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 16059.0 , 'high_gamma': 11221.0 , 'length': 32 , 'theta': 48804.0 , 'low_alpha': 25903.0} 17:40:38
{'high_beta': 25553.0 , 'low_beta': 39279.0 , 'attention': 30 , 'low_gamma': 11366.0 , 'delta': 68088.0 , 'meditation': 48 , 'poor_signal': 0 , 'high_alpha': 24675.0 , 'high_gamma': 12516.0 , 'length': 32 , 'theta': 106323.0 , 'low_alpha': 39353.0} 17:40:39
{'high_beta': 8800.0 , 'low_beta': 8259.0 , 'attention': 13 , 'low_gamma': 17894.0 , 'delta': 770051.0 , 'meditation': 54 , 'poor_signal': 0 , 'high_alpha': 28221.0 , 'high_gamma': 7997.0 , 'length': 32 , 'theta': 101613.0 , 'low_alpha': 10104.0} 17:40:40
{'high_beta': 79191.0 , 'low_beta': 186246.0 , 'attention': 1 , 'low_gamma': 109248.0 , 'delta': 2058505.0 , 'meditation': 48 , 'poor_signal': 0 , 'high_alpha': 78048.0 , 'high_gamma': 38469.0 , 'length': 32 , 'theta': 674103.0 , 'low_alpha': 96672.0} 17:40:40
{'high_beta': 2997.0 , 'low_beta': 12886.0 , 'attention': 1 , 'low_gamma': 6198.0 , 'delta': 9454.0 , 'meditation': 70 , 'poor_signal': 0 , 'high_alpha': 5915.0 , 'high_gamma': 3676.0 , 'length': 32 , 'theta': 19288.0 , 'low_alpha': 27334.0} 17:40:41
{'high_beta': 16079.0 , 'low_beta': 8141.0 , 'attention': 1 , 'low_gamma': 10377.0 , 'delta': 51557.0 , 'meditation': 53 , 'poor_signal': 0 , 'high_alpha': 12377.0 , 'high_gamma': 4011.0 , 'length': 32 , 'theta': 129975.0 , 'low_alpha': 13926.0} 17:40:42
{'high_beta': 36506.0 , 'low_beta': 69983.0 , 'attention': 1 , 'low_gamma': 24066.0 , 'delta': 544996.0 , 'meditation': 56 , 'poor_signal': 0 , 'high_alpha': 6779.0 , 'high_gamma': 32680.0 , 'length': 32 , 'theta': 512522.0 , 'low_alpha': 239056.0} 17:40:43
{'high_beta': 5880.0 , 'low_beta': 12092.0 , 'attention': 1 , 'low_gamma': 29242.0 , 'delta': 489364.0 , 'meditation': 56 , 'poor_signal': 0 , 'high_alpha': 4946.0 , 'high_gamma': 6998.0 , 'length': 32 , 'theta': 73528.0 , 'low_alpha': 11470.0} 17:40:45
{'high_beta': 63685.0 , 'low_beta': 154281.0 , 'attention': 1 , 'low_gamma': 46496.0 , 'delta': 1494426.0 , 'meditation': 38 , 'poor_signal': 0 , 'high_alpha': 43084.0 , 'high_gamma': 60604.0 , 'length': 32 , 'theta': 485642.0 , 'low_alpha': 190884.0} 17:40:45
{'high_beta': 17844.0 , 'low_beta': 4695.0 , 'attention': 13 , 'low_gamma': 4424.0 , 'delta': 18785.0 , 'meditation': 50 , 'poor_signal': 0 , 'high_alpha': 7273.0 , 'high_gamma': 2214.0 , 'length': 32 , 'theta': 29769.0 , 'low_alpha': 7787.0} 17:40:46
{'high_beta': 24469.0 , 'low_beta': 50429.0 , 'attention': 13 , 'low_gamma': 16535.0 , 'delta': 228852.0 , 'meditation': 48 , 'poor_signal': 0 , 'high_alpha': 52122.0 , 'high_gamma': 12775.0 , 'length': 32 , 'theta': 327348.0 , 'low_alpha': 105359.0} 17:40:48
{'high_beta': 11021.0 , 'low_beta': 43911.0 , 'attention': 17 , 'low_gamma': 8989.0 , 'delta': 96223.0 , 'meditation': 64 , 'poor_signal': 0 , 'high_alpha': 31511.0 , 'high_gamma': 4679.0 , 'length': 32 , 'theta': 62490.0 , 'low_alpha': 23433.0} 17:40:48
{'high_beta': 14984.0 , 'low_beta': 8471.0 , 'attention': 27 , 'low_gamma': 6639.0 , 'delta': 207837.0 , 'meditation': 67 , 'poor_signal': 0 , 'high_alpha': 19509.0 , 'high_gamma': 11971.0 , 'length': 32 , 'theta': 45728.0 , 'low_alpha': 9647.0} 17:40:49
{'high_beta': 7985.0 , 'low_beta': 14978.0 , 'attention': 17 , 'low_gamma': 5051.0 , 'delta': 10660.0 , 'meditation': 78 , 'poor_signal': 0 , 'high_alpha': 16587.0 , 'high_gamma': 2799.0 , 'length': 32 , 'theta': 12852.0 , 'low_alpha': 3754.0} 17:40:50
{'high_beta': 48408.0 , 'low_beta': 43472.0 , 'attention': 24 , 'low_gamma': 13568.0 , 'delta': 583678.0 , 'meditation': 94 , 'poor_signal': 0 , 'high_alpha': 35255.0 , 'high_gamma': 6611.0 , 'length': 32 , 'theta': 177833.0 , 'low_alpha': 381976.0} 17:40:51
{'high_beta': 15664.0 , 'low_beta': 4429.0 , 'attention': 51 , 'low_gamma': 13723.0 , 'delta': 254785.0 , 'meditation': 88 , 'poor_signal': 0 , 'high_alpha': 13002.0 , 'high_gamma': 5367.0 , 'length': 32 , 'theta': 17478.0 , 'low_alpha': 2023.0} 17:40:52
{'high_beta': 721.0 , 'low_beta': 3195.0 , 'attention': 29 , 'low_gamma': 829.0 , 'delta': 103439.0 , 'meditation': 77 , 'poor_signal': 0 , 'high_alpha': 2071.0 , 'high_gamma': 1485.0 , 'length': 32 , 'theta': 13244.0 , 'low_alpha': 2223.0} 17:40:53
{'high_beta': 7304.0 , 'low_beta': 8656.0 , 'attention': 17 , 'low_gamma': 8413.0 , 'delta': 285886.0 , 'meditation': 77 , 'poor_signal': 0 , 'high_alpha': 36152.0 , 'high_gamma': 8390.0 , 'length': 32 , 'theta': 41508.0 , 'low_alpha': 6174.0} 17:40:54
{'high_beta': 36886.0 , 'low_beta': 24420.0 , 'attention': 41 , 'low_gamma': 20697.0 , 'delta': 995057.0 , 'meditation': 50 , 'poor_signal': 0 , 'high_alpha': 8721.0 , 'high_gamma': 24859.0 , 'length': 32 , 'theta': 85714.0 , 'low_alpha': 25188.0} 17:40:55
{'high_beta': 51903.0 , 'low_beta': 124144.0 , 'attention': 20 , 'low_gamma': 36787.0 , 'delta': 894531.0 , 'meditation': 44 , 'poor_signal': 0 , 'high_alpha': 13991.0 , 'high_gamma': 41501.0 , 'length': 32 , 'theta': 325213.0 , 'low_alpha': 122433.0} 17:40:56
