{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:48:45
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:48:46
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:48:46
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:48:47
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:48:47
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:48:48
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:48:48
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:48:49
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:48:49
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:48:50
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:48:50
