{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 01:02:32
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 01:02:32
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 01:02:33
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 01:02:33
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 01:02:34
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 01:02:34
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 01:02:35
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 01:02:35
{'high_beta': 2.0 , 'low_beta': 2.0 , 'attention': 0 , 'low_gamma': 0.0 , 'delta': 2.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 0.0 , 'high_gamma': 0.0 , 'length': 32 , 'theta': 2.0 , 'low_alpha': 0.0} 01:02:36
{'high_beta': 10859.0 , 'low_beta': 15509.0 , 'attention': 0 , 'low_gamma': 3977.0 , 'delta': 410269.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 20947.0 , 'high_gamma': 12129.0 , 'length': 32 , 'theta': 127081.0 , 'low_alpha': 69520.0} 01:02:37
{'high_beta': 6495.0 , 'low_beta': 12033.0 , 'attention': 0 , 'low_gamma': 3711.0 , 'delta': 15296.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 2235.0 , 'high_gamma': 3653.0 , 'length': 32 , 'theta': 18359.0 , 'low_alpha': 12914.0} 01:02:38
{'high_beta': 19459.0 , 'low_beta': 6809.0 , 'attention': 0 , 'low_gamma': 7460.0 , 'delta': 32009.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 16783.0 , 'high_gamma': 1389.0 , 'length': 32 , 'theta': 43230.0 , 'low_alpha': 24235.0} 01:02:39
{'high_beta': 6674.0 , 'low_beta': 4888.0 , 'attention': 48 , 'low_gamma': 3725.0 , 'delta': 4196.0 , 'meditation': 30 , 'poor_signal': 0 , 'high_alpha': 2362.0 , 'high_gamma': 1563.0 , 'length': 32 , 'theta': 25755.0 , 'low_alpha': 10760.0} 01:02:40
{'high_beta': 10816.0 , 'low_beta': 3324.0 , 'attention': 69 , 'low_gamma': 5720.0 , 'delta': 4380.0 , 'meditation': 54 , 'poor_signal': 0 , 'high_alpha': 9346.0 , 'high_gamma': 4587.0 , 'length': 32 , 'theta': 5291.0 , 'low_alpha': 11086.0} 01:02:41
{'high_beta': 10777.0 , 'low_beta': 8948.0 , 'attention': 84 , 'low_gamma': 3313.0 , 'delta': 627283.0 , 'meditation': 56 , 'poor_signal': 0 , 'high_alpha': 9519.0 , 'high_gamma': 2641.0 , 'length': 32 , 'theta': 16347.0 , 'low_alpha': 7941.0} 01:02:42
{'high_beta': 5729.0 , 'low_beta': 11621.0 , 'attention': 100 , 'low_gamma': 2063.0 , 'delta': 6297.0 , 'meditation': 38 , 'poor_signal': 0 , 'high_alpha': 4797.0 , 'high_gamma': 1549.0 , 'length': 32 , 'theta': 6230.0 , 'low_alpha': 935.0} 01:02:43
{'high_beta': 6410.0 , 'low_beta': 11575.0 , 'attention': 100 , 'low_gamma': 9015.0 , 'delta': 119448.0 , 'meditation': 47 , 'poor_signal': 0 , 'high_alpha': 15636.0 , 'high_gamma': 7220.0 , 'length': 32 , 'theta': 21012.0 , 'low_alpha': 1433.0} 01:02:44
{'high_beta': 12981.0 , 'low_beta': 14942.0 , 'attention': 100 , 'low_gamma': 6088.0 , 'delta': 450988.0 , 'meditation': 4 , 'poor_signal': 0 , 'high_alpha': 5084.0 , 'high_gamma': 5141.0 , 'length': 32 , 'theta': 25911.0 , 'low_alpha': 6588.0} 01:02:45
{'high_beta': 5517.0 , 'low_beta': 5365.0 , 'attention': 100 , 'low_gamma': 1632.0 , 'delta': 3942.0 , 'meditation': 4 , 'poor_signal': 0 , 'high_alpha': 6925.0 , 'high_gamma': 1701.0 , 'length': 32 , 'theta': 6926.0 , 'low_alpha': 971.0} 01:02:46
{'high_beta': 5422.0 , 'low_beta': 8103.0 , 'attention': 100 , 'low_gamma': 4975.0 , 'delta': 6345.0 , 'meditation': 17 , 'poor_signal': 0 , 'high_alpha': 3274.0 , 'high_gamma': 1466.0 , 'length': 32 , 'theta': 3927.0 , 'low_alpha': 3252.0} 01:02:47
{'high_beta': 4968.0 , 'low_beta': 7532.0 , 'attention': 100 , 'low_gamma': 5898.0 , 'delta': 8962.0 , 'meditation': 14 , 'poor_signal': 0 , 'high_alpha': 4863.0 , 'high_gamma': 5037.0 , 'length': 32 , 'theta': 19879.0 , 'low_alpha': 6620.0} 01:02:48
{'high_beta': 7275.0 , 'low_beta': 4980.0 , 'attention': 94 , 'low_gamma': 3797.0 , 'delta': 41222.0 , 'meditation': 35 , 'poor_signal': 0 , 'high_alpha': 6388.0 , 'high_gamma': 2684.0 , 'length': 32 , 'theta': 31033.0 , 'low_alpha': 12484.0} 01:02:49
{'high_beta': 8587.0 , 'low_beta': 4835.0 , 'attention': 100 , 'low_gamma': 2230.0 , 'delta': 3139.0 , 'meditation': 14 , 'poor_signal': 0 , 'high_alpha': 2595.0 , 'high_gamma': 1400.0 , 'length': 32 , 'theta': 10789.0 , 'low_alpha': 760.0} 01:02:50
{'high_beta': 5631.0 , 'low_beta': 4095.0 , 'attention': 90 , 'low_gamma': 1596.0 , 'delta': 8293.0 , 'meditation': 14 , 'poor_signal': 0 , 'high_alpha': 1754.0 , 'high_gamma': 1068.0 , 'length': 32 , 'theta': 11804.0 , 'low_alpha': 4883.0} 01:02:51
{'high_beta': 2551.0 , 'low_beta': 3069.0 , 'attention': 91 , 'low_gamma': 1008.0 , 'delta': 108242.0 , 'meditation': 30 , 'poor_signal': 0 , 'high_alpha': 2580.0 , 'high_gamma': 1807.0 , 'length': 32 , 'theta': 5911.0 , 'low_alpha': 4515.0} 01:02:52
{'high_beta': 6568.0 , 'low_beta': 10759.0 , 'attention': 96 , 'low_gamma': 6117.0 , 'delta': 21738.0 , 'meditation': 11 , 'poor_signal': 0 , 'high_alpha': 1743.0 , 'high_gamma': 5790.0 , 'length': 32 , 'theta': 22209.0 , 'low_alpha': 3483.0} 01:02:53
