{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:46:51
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:46:51
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:46:52
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:46:52
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:46:53
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:46:53
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:46:54
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:46:54
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:46:55
{'high_beta': 0.0 , 'low_beta': 0.0 , 'attention': 0 , 'low_gamma': 0.0 , 'delta': 0.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 0.0 , 'high_gamma': 0.0 , 'length': 32 , 'theta': 0.0 , 'low_alpha': 0.0} 17:46:55
{'high_beta': 5056.0 , 'low_beta': 5294.0 , 'attention': 0 , 'low_gamma': 1653.0 , 'delta': 165177.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 15262.0 , 'high_gamma': 2426.0 , 'length': 32 , 'theta': 108103.0 , 'low_alpha': 18180.0} 17:46:56
{'high_beta': 12138.0 , 'low_beta': 20438.0 , 'attention': 0 , 'low_gamma': 9277.0 , 'delta': 673788.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 11139.0 , 'high_gamma': 8745.0 , 'length': 32 , 'theta': 18515.0 , 'low_alpha': 23536.0} 17:46:57
{'high_beta': 11127.0 , 'low_beta': 8625.0 , 'attention': 0 , 'low_gamma': 6813.0 , 'delta': 28617.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 41204.0 , 'high_gamma': 6378.0 , 'length': 32 , 'theta': 30624.0 , 'low_alpha': 808.0} 17:46:58
{'high_beta': 11226.0 , 'low_beta': 18829.0 , 'attention': 0 , 'low_gamma': 8433.0 , 'delta': 51774.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 74473.0 , 'high_gamma': 6411.0 , 'length': 32 , 'theta': 34473.0 , 'low_alpha': 4493.0} 17:46:59
{'high_beta': 3524.0 , 'low_beta': 4449.0 , 'attention': 30 , 'low_gamma': 2496.0 , 'delta': 72331.0 , 'meditation': 30 , 'poor_signal': 0 , 'high_alpha': 4814.0 , 'high_gamma': 2404.0 , 'length': 32 , 'theta': 30579.0 , 'low_alpha': 11005.0} 17:47:00
